"codeReg";"nomReg";"numdep"
"28";"Normandie";"50"
"44";"Grand Est";"51"
"44";"Grand Est";"52"
"52";"Pays de la Loire";"53"
"44";"Grand Est";"54"
"44";"Grand Est";"55"
"53";"Bretagne";"56"
"44";"Grand Est";"57"
"27";"Bourgogne-Franche-Comté";"58"
"32";"Hauts-de-France";"59"
"32";"Hauts-de-France";"60"
"28";"Normandie";"61"
"32";"Hauts-de-France";"62"
"84";"Auvergne-Rhône-Alpes";"63"
"75";"Nouvelle-Aquitaine";"64"
"76";"Occitanie";"65"
"76";"Occitanie";"66"
"44";"Grand Est";"67"
"44";"Grand Est";"68"
"84";"Auvergne-Rhône-Alpes";"69"
"27";"Bourgogne-Franche-Comté";"70"
"84";"Auvergne-Rhône-Alpes";"01"
"32";"Hauts-de-France";"02"
"84";"Auvergne-Rhône-Alpes";"03"
"93";"Provence-Alpes-Côte d Azur";"04"
"93";"Provence-Alpes-Côte d Azur";"05"
"93";"Provence-Alpes-Côte d Azur";"06"
"84";"Auvergne-Rhône-Alpes";"07"
"44";"Grand Est";"08"
"76";"Occitanie";"09"
"44";"Grand Est";"10"
"76";"Occitanie";"11"
"76";"Occitanie";"12"
"93";"Provence-Alpes-Côte d Azur";"13"
"28";"Normandie";"14"
"84";"Auvergne-Rhône-Alpes";"15"
"75";"Nouvelle-Aquitaine";"16"
"75";"Nouvelle-Aquitaine";"17"
"24";"Centre-Val de Loire";"18"
"75";"Nouvelle-Aquitaine";"19"
"27";"Bourgogne-Franche-Comté";"21"
"53";"Bretagne";"22"
"75";"Nouvelle-Aquitaine";"23"
"75";"Nouvelle-Aquitaine";"24"
"27";"Bourgogne-Franche-Comté";"25"
"84";"Auvergne-Rhône-Alpes";"26"
"27";"Bourgogne-Franche-Comté";"71"
"52";"Pays de la Loire";"72"
"84";"Auvergne-Rhône-Alpes";"73"
"84";"Auvergne-Rhône-Alpes";"74"
"11";"Île-de-France";"75"
"28";"Normandie";"76"
"11";"Île-de-France";"77"
"11";"Île-de-France";"78"
"75";"Nouvelle-Aquitaine";"79"
"32";"Hauts-de-France";"80"
"76";"Occitanie";"81"
"76";"Occitanie";"82"
"93";"Provence-Alpes-Côte d Azur";"83"
"93";"Provence-Alpes-Côte d Azur";"84"
"52";"Pays de la Loire";"85"
"75";"Nouvelle-Aquitaine";"86"
"75";"Nouvelle-Aquitaine";"87"
"44";"Grand Est";"88"
"27";"Bourgogne-Franche-Comté";"89"
"27";"Bourgogne-Franche-Comté";"90"
"11";"Île-de-France";"91"
"11";"Île-de-France";"92"
"11";"Île-de-France";"93"
"11";"Île-de-France";"94"
"11";"Île-de-France";"95"
"1";"Guadeloupe";"971"
"2";"Martinique";"972"
"3";"Guyane";"973"
"4";"La Réunion";"974"
"6";"Mayotte";"976"
"0";"Collectivités d outre-mer";"987"
"0";"Collectivités d outre-mer";"988"
"28";"Normandie";"27"
"24";"Centre-Val de Loire";"28"
"53";"Bretagne";"29"
"94";"Corse";"2A"
"94";"Corse";"2B"
"76";"Occitanie";"30"
"76";"Occitanie";"31"
"76";"Occitanie";"32"
"75";"Nouvelle-Aquitaine";"33"
"76";"Occitanie";"34"
"53";"Bretagne";"35"
"24";"Centre-Val de Loire";"36"
"24";"Centre-Val de Loire";"37"
"84";"Auvergne-Rhône-Alpes";"38"
"27";"Bourgogne-Franche-Comté";"39"
"75";"Nouvelle-Aquitaine";"40"
"24";"Centre-Val de Loire";"41"
"84";"Auvergne-Rhône-Alpes";"42"
"84";"Auvergne-Rhône-Alpes";"43"
"52";"Pays de la Loire";"44"
"24";"Centre-Val de Loire";"45"
"76";"Occitanie";"46"
"75";"Nouvelle-Aquitaine";"47"
"76";"Occitanie";"48"
"52";"Pays de la Loire";"49"
"0";"Collectivités d outre-mer";"984"
"0";"Collectivités d outre-mer";"986"
"0";"Collectivités d outre-mer";"989"
"0";"Collectivités d outre-mer";"978"
"0";"Collectivités d outre-mer";"975"
"0";"Collectivités d outre-mer";"977"
